"plot_ID","CCS_nr","plot_A_ha","inv_year","compartiment","B_t_ha","C_t_ha","N_t_ha"
"50061","2","0.00785398163397448","2012","bg","0","0","0"
"50061","2","0.00785398163397448","2012","total","0","0","0"
"50061","3","0.00785398163397448","2012","ag","0","0","0"
"50061","3","0.00785398163397448","2012","bg","0","0","0"
"50061","3","0.00785398163397448","2012","total","0","0","0"
"50061","4","0.00785398163397448","2012","ag","0","0","0"
"50061","4","0.00785398163397448","2012","bg","0","0","0"
"50061","4","0.00785398163397448","2012","total","0","0","0"
"50063","2","0.00785398163397448","2011","ag","0","0","0"
"50063","2","0.00785398163397448","2011","bg","0","0","0"
"50063","2","0.00785398163397448","2011","total","0","0","0"
"50063","3","0.00785398163397448","2011","ag","0","0","0"
"50063","3","0.00785398163397448","2011","bg","0","0","0"
"50063","3","0.00785398163397448","2011","total","0","0","0"
"50064","3","0.00785398163397448","2011","ag","0","0","0"
"50064","3","0.00785398163397448","2011","bg","0","0","0"
"50064","3","0.00785398163397448","2011","total","0","0","0"
"50067","1","0.00785398163397448","2011","ag","0","0","0"
"50067","1","0.00785398163397448","2011","bg","0","0","0"
"50067","1","0.00785398163397448","2011","total","0","0","0"
"50067","4","0.00785398163397448","2011","ag","0","0","0"
"50067","4","0.00785398163397448","2011","bg","0","0","0"
"50067","4","0.00785398163397448","2011","total","0","0","0"
"50068","2","0.00785398163397448","2012","ag","0","0","0"
"50068","2","0.00785398163397448","2012","bg","0","0","0"
"50068","2","0.00785398163397448","2012","total","0","0","0"
"50068","3","0.00785398163397448","2012","ag","0","0","0"
"50068","3","0.00785398163397448","2012","bg","0","0","0"
"50068","3","0.00785398163397448","2012","total","0","0","0"
"50068","4","0.00785398163397448","2012","ag","0","0","0"
"50068","4","0.00785398163397448","2012","bg","0","0","0"
"50068","4","0.00785398163397448","2012","total","0","0","0"
"50072","2","0.00785398163397448","2012","ag","0","0","0"
"50072","2","0.00785398163397448","2012","bg","0","0","0"
"50072","2","0.00785398163397448","2012","total","0","0","0"
"50074","1","0.00785398163397448","2011","ag","0","0","0"
"50074","1","0.00785398163397448","2011","bg","0","0","0"
"50074","1","0.00785398163397448","2011","total","0","0","0"
"50074","2","0.00785398163397448","2011","ag","0","0","0"
"50074","2","0.00785398163397448","2011","bg","0","0","0"
"50074","2","0.00785398163397448","2011","total","0","0","0"
"50074","3","0.00785398163397448","2011","ag","0","0","0"
"50074","3","0.00785398163397448","2011","bg","0","0","0"
"50074","3","0.00785398163397448","2011","total","0","0","0"
"50074","4","0.00785398163397448","2011","ag","0","0","0"
"50074","4","0.00785398163397448","2011","bg","0","0","0"
"50074","4","0.00785398163397448","2011","total","0","0","0"
"50076","1","0.00785398163397448","2011","ag","0","0","0"
"50076","1","0.00785398163397448","2011","bg","0","0","0"
"50076","1","0.00785398163397448","2011","total","0","0","0"
