"bund_nr","ld","ld_bze","ld_wze","bwi_tnr","bwi_eck","eu_wze","srid_ist","istre","istho","raster_8x8","raster_16x16","raster","hoehenn"
10003,-9,1008,1008,NA,NA,86,31467,3595973,5943013,FALSE,TRUE,"-9",50
10004,-9,1011,1011,NA,NA,-9,31468,4403994,5947008,FALSE,FALSE,"-9",55
10005,-9,1013,1013,NA,NA,-9,31468,4419988,5946951,FALSE,FALSE,"-9",34
10006,-9,1014,1014,NA,NA,-9,31467,3595980,5950967,FALSE,FALSE,"-9",66
10007,-9,1015,1015,NA,NA,-9,31467,3563997,5955043,FALSE,FALSE,"-9",31
10008,-9,1016,1016,NA,NA,69,31467,3564014,5958993,FALSE,TRUE,"-9",34
10009,-9,1017,1017,NA,NA,-9,31468,4350365,5965139,FALSE,FALSE,"-9",7
10010,-9,1023,1023,NA,NA,-9,31467,3595969,5966995,FALSE,FALSE,"-9",9
10011,-9,1027,1027,NA,NA,-9,31467,3572045,5975011,FALSE,FALSE,"-9",36
10012,-9,1031,1031,NA,NA,-9,31467,3572017,5978958,FALSE,FALSE,"-9",43
10013,-9,1033,1033,NA,NA,-9,31467,3579971,5978985,FALSE,FALSE,"-9",47
10014,-9,1040,1040,NA,NA,-9,31467,3595998,5983013,FALSE,FALSE,"-9",33
10015,-9,1044,1044,NA,NA,-9,31467,3507999,5986992,FALSE,FALSE,"-9",18
10016,-9,1045,1045,NA,NA,-9,31467,3532062,5987028,FALSE,FALSE,"-9",17
10017,-9,1047,1047,NA,NA,-9,31467,3548072,5986992,FALSE,FALSE,"-9",27
10018,-9,1048,1048,NA,NA,-9,31467,3559980,5987008,FALSE,FALSE,"-9",16
10019,-9,1049,1049,NA,NA,-9,31467,3572054,5986970,FALSE,FALSE,"-9",41
10020,-9,1054,1054,NA,NA,48,31467,3548098,5991042,FALSE,FALSE,"-9",77
10021,-9,1056,1056,NA,NA,-9,31467,3571975,5991023,FALSE,FALSE,"-9",33
10022,-9,1061,1061,NA,NA,-9,31467,3572018,5995030,FALSE,FALSE,"-9",34
10023,-9,1067,1067,NA,NA,-9,31467,3547961,5999034,FALSE,FALSE,"-9",40
10024,-9,1070,1070,NA,NA,-9,31467,3519963,6003038,FALSE,FALSE,"-9",46
10025,-9,1071,1071,NA,NA,-9,31467,3540026,6003025,FALSE,FALSE,"-9",45
10026,-9,1075,1075,NA,NA,-9,31467,3579948,6002964,FALSE,FALSE,"-9",26
10027,-9,1078,1078,NA,NA,35,31468,4420017,6003028,FALSE,FALSE,"-9",21
10028,-9,1083,1083,NA,NA,9043,31468,4411962,6006986,FALSE,TRUE,"-9",44
10029,-9,1087,1087,NA,NA,-9,31467,3595931,6010948,FALSE,FALSE,"-9",26
10030,-9,1091,1091,NA,NA,-9,31467,3535984,6015038,FALSE,FALSE,"-9",25
10031,-9,1092,1092,NA,NA,-9,31468,4419694,6014938,FALSE,FALSE,"-9",75
10032,-9,1096,1096,NA,NA,-9,31467,3587981,6018972,FALSE,FALSE,"-9",33
10033,-9,1098,1098,NA,NA,-9,31467,3535993,6022975,FALSE,FALSE,"-9",8
10034,-9,1100,1100,NA,NA,-9,31467,3588006,6023009,FALSE,FALSE,"-9",32
